Experiment Title,Hs-His6-PEX5C vs HsPEX5C,,,,,,,,
Well ID,Type,Contents,Protein Name,Protein Concentration,Tracer Name,Tracer Concentration,Competitor Name,Competitor Concentration,Concentration Units
C23,Compound,,Hs-His6-PEX5C,1.34,Lissamine-YQSKL,200,,,nM
C24,Compound,,Hs-His6-PEX5C,0,Lissamine-YQSKL,200,,,nM
D1,Compound,,Hs-His6-PEX5C,10000,,,,,nM
D2,Compound,,Hs-His6-PEX5C,6666.67,,,,,nM
D3,Compound,,Hs-His6-PEX5C,4444.44,,,,,nM
D4,Compound,,Hs-His6-PEX5C,2962.96,,,,,nM
D5,Compound,,Hs-His6-PEX5C,1975.31,,,,,nM
D6,Compound,,Hs-His6-PEX5C,1316.87,,,,,nM
D7,Compound,,Hs-His6-PEX5C,877.91,,,,,nM
D8,Compound,,Hs-His6-PEX5C,585.28,,,,,nM
D9,Compound,,Hs-His6-PEX5C,390.18,,,,,nM
D10,Compound,,Hs-His6-PEX5C,260.12,,,,,nM
D11,Compound,,Hs-His6-PEX5C,173.42,,,,,nM
D12,Compound,,Hs-His6-PEX5C,115.61,,,,,nM
D13,Compound,,Hs-His6-PEX5C,77.07,,,,,nM
D14,Compound,,Hs-His6-PEX5C,51.38,,,,,nM
D15,Compound,,Hs-His6-PEX5C,34.25,,,,,nM
D16,Compound,,Hs-His6-PEX5C,22.84,,,,,nM
D17,Compound,,Hs-His6-PEX5C,15.22,,,,,nM
D18,Compound,,Hs-His6-PEX5C,10.15,,,,,nM
D19,Compound,,Hs-His6-PEX5C,6.77,,,,,nM
D20,Compound,,Hs-His6-PEX5C,4.51,,,,,nM
D21,Compound,,Hs-His6-PEX5C,3.01,,,,,nM
D22,Compound,,Hs-His6-PEX5C,2,,,,,nM
D23,Compound,,Hs-His6-PEX5C,1.34,,,,,nM
D24,Compound,,Hs-His6-PEX5C,0,,,,,nM
E1,Compound,,Hs-His6-PEX5C,10000,,,,,nM
E2,Compound,,Hs-His6-PEX5C,6666.67,,,,,nM
E3,Compound,,Hs-His6-PEX5C,4444.44,,,,,nM
E4,Compound,,Hs-His6-PEX5C,2962.96,,,,,nM
E5,Compound,,Hs-His6-PEX5C,1975.31,,,,,nM
E6,Compound,,Hs-His6-PEX5C,1316.87,,,,,nM
E7,Compound,,Hs-His6-PEX5C,877.91,,,,,nM
E8,Compound,,Hs-His6-PEX5C,585.28,,,,,nM
E9,Compound,,Hs-His6-PEX5C,390.18,,,,,nM
E10,Compound,,Hs-His6-PEX5C,260.12,,,,,nM
E11,Compound,,Hs-His6-PEX5C,173.42,,,,,nM
E12,Compound,,Hs-His6-PEX5C,115.61,,,,,nM
E13,Compound,,Hs-His6-PEX5C,77.07,,,,,nM
E14,Compound,,Hs-His6-PEX5C,51.38,,,,,nM
E15,Compound,,Hs-His6-PEX5C,34.25,,,,,nM
E16,Compound,,Hs-His6-PEX5C,22.84,,,,,nM
E17,Compound,,Hs-His6-PEX5C,15.22,,,,,nM
E18,Compound,,Hs-His6-PEX5C,10.15,,,,,nM
E19,Compound,,Hs-His6-PEX5C,6.77,,,,,nM
E20,Compound,,Hs-His6-PEX5C,4.51,,,,,nM
E21,Compound,,Hs-His6-PEX5C,3.01,,,,,nM
E22,Compound,,Hs-His6-PEX5C,2,,,,,nM
E23,Compound,,Hs-His6-PEX5C,1.34,,,,,nM
E24,Compound,,Hs-His6-PEX5C,0,,,,,nM
F1,Compound,,Hs-His6-PEX5C,10000,,,,,nM
F2,Compound,,Hs-His6-PEX5C,6666.67,,,,,nM
F3,Compound,,Hs-His6-PEX5C,4444.44,,,,,nM
F4,Compound,,Hs-His6-PEX5C,2962.96,,,,,nM
F5,Compound,,Hs-His6-PEX5C,1975.31,,,,,nM
F6,Compound,,Hs-His6-PEX5C,1316.87,,,,,nM
F7,Compound,,Hs-His6-PEX5C,877.91,,,,,nM
F8,Compound,,Hs-His6-PEX5C,585.28,,,,,nM
F9,Compound,,Hs-His6-PEX5C,390.18,,,,,nM
F10,Compound,,Hs-His6-PEX5C,260.12,,,,,nM
F11,Compound,,Hs-His6-PEX5C,173.42,,,,,nM
F12,Compound,,Hs-His6-PEX5C,115.61,,,,,nM
F13,Compound,,Hs-His6-PEX5C,77.07,,,,,nM
F14,Compound,,Hs-His6-PEX5C,51.38,,,,,nM
F15,Compound,,Hs-His6-PEX5C,34.25,,,,,nM
F16,Compound,,Hs-His6-PEX5C,22.84,,,,,nM
F17,Compound,,Hs-His6-PEX5C,15.22,,,,,nM
F18,Compound,,Hs-His6-PEX5C,10.15,,,,,nM
F19,Compound,,Hs-His6-PEX5C,6.77,,,,,nM
F20,Compound,,Hs-His6-PEX5C,4.51,,,,,nM
F21,Compound,,Hs-His6-PEX5C,3.01,,,,,nM
F22,Compound,,Hs-His6-PEX5C,2,,,,,nM
F23,Compound,,Hs-His6-PEX5C,1.34,,,,,nM
F24,Compound,,Hs-His6-PEX5C,0,,,,,nM
G1,Compound,,HsPEX5C,10000,Lissamine-YQSKL,200,,,nM
G2,Compound,,HsPEX5C,6666.67,Lissamine-YQSKL,200,,,nM
G3,Compound,,HsPEX5C,4444.44,Lissamine-YQSKL,200,,,nM
G4,Compound,,HsPEX5C,2962.96,Lissamine-YQSKL,200,,,nM
G5,Compound,,HsPEX5C,1975.31,Lissamine-YQSKL,200,,,nM
G6,Compound,,HsPEX5C,1316.87,Lissamine-YQSKL,200,,,nM
G7,Compound,,HsPEX5C,877.91,Lissamine-YQSKL,200,,,nM
G8,Compound,,HsPEX5C,585.28,Lissamine-YQSKL,200,,,nM
G9,Compound,,HsPEX5C,390.18,Lissamine-YQSKL,200,,,nM
G10,Compound,,HsPEX5C,260.12,Lissamine-YQSKL,200,,,nM
G11,Compound,,HsPEX5C,173.42,Lissamine-YQSKL,200,,,nM
G12,Compound,,HsPEX5C,115.61,Lissamine-YQSKL,200,,,nM
G13,Compound,,HsPEX5C,77.07,Lissamine-YQSKL,200,,,nM
G14,Compound,,HsPEX5C,51.38,Lissamine-YQSKL,200,,,nM
G15,Compound,,HsPEX5C,34.25,Lissamine-YQSKL,200,,,nM
G16,Compound,,HsPEX5C,22.84,Lissamine-YQSKL,200,,,nM
G17,Compound,,HsPEX5C,15.22,Lissamine-YQSKL,200,,,nM
G18,Compound,,HsPEX5C,10.15,Lissamine-YQSKL,200,,,nM
G19,Compound,,HsPEX5C,6.77,Lissamine-YQSKL,200,,,nM
G20,Compound,,HsPEX5C,4.51,Lissamine-YQSKL,200,,,nM
G21,Compound,,HsPEX5C,3.01,Lissamine-YQSKL,200,,,nM
G22,Compound,,HsPEX5C,2,Lissamine-YQSKL,200,,,nM
G23,Compound,,HsPEX5C,1.34,Lissamine-YQSKL,200,,,nM
G24,Compound,,HsPEX5C,0,Lissamine-YQSKL,200,,,nM
H1,Compound,,HsPEX5C,10000,Lissamine-YQSKL,200,,,nM
H2,Compound,,HsPEX5C,6666.67,Lissamine-YQSKL,200,,,nM
H3,Compound,,HsPEX5C,4444.44,Lissamine-YQSKL,200,,,nM
H4,Compound,,HsPEX5C,2962.96,Lissamine-YQSKL,200,,,nM
H5,Compound,,HsPEX5C,1975.31,Lissamine-YQSKL,200,,,nM
H6,Compound,,HsPEX5C,1316.87,Lissamine-YQSKL,200,,,nM
H7,Compound,,HsPEX5C,877.91,Lissamine-YQSKL,200,,,nM
H8,Compound,,HsPEX5C,585.28,Lissamine-YQSKL,200,,,nM
H9,Compound,,HsPEX5C,390.18,Lissamine-YQSKL,200,,,nM
H10,Compound,,HsPEX5C,260.12,Lissamine-YQSKL,200,,,nM
H11,Compound,,HsPEX5C,173.42,Lissamine-YQSKL,200,,,nM
H12,Compound,,HsPEX5C,115.61,Lissamine-YQSKL,200,,,nM
H13,Compound,,HsPEX5C,77.07,Lissamine-YQSKL,200,,,nM
H14,Compound,,HsPEX5C,51.38,Lissamine-YQSKL,200,,,nM
H15,Compound,,HsPEX5C,34.25,Lissamine-YQSKL,200,,,nM
H16,Compound,,HsPEX5C,22.84,Lissamine-YQSKL,200,,,nM
H17,Compound,,HsPEX5C,15.22,Lissamine-YQSKL,200,,,nM
H18,Compound,,HsPEX5C,10.15,Lissamine-YQSKL,200,,,nM
H19,Compound,,HsPEX5C,6.77,Lissamine-YQSKL,200,,,nM
H20,Compound,,HsPEX5C,4.51,Lissamine-YQSKL,200,,,nM
H21,Compound,,HsPEX5C,3.01,Lissamine-YQSKL,200,,,nM
H22,Compound,,HsPEX5C,2,Lissamine-YQSKL,200,,,nM
H23,Compound,,HsPEX5C,1.34,Lissamine-YQSKL,200,,,nM
H24,Compound,,HsPEX5C,0,Lissamine-YQSKL,200,,,nM
I1,Compound,,HsPEX5C,10000,Lissamine-YQSKL,200,,,nM
I2,Compound,,HsPEX5C,6666.67,Lissamine-YQSKL,200,,,nM
I3,Compound,,HsPEX5C,4444.44,Lissamine-YQSKL,200,,,nM
I4,Compound,,HsPEX5C,2962.96,Lissamine-YQSKL,200,,,nM
